,year,housing_units,neighborhood,sale_price_sqr_foot,gross_rent
372,2016,384242,Lower Pacific Heights,636.4307703489126,4390.0
373,2016,384242,Marina,431.9446020235903,4390.0
374,2016,384242,Merced Heights,1416.6666666666667,4390.0
375,2016,384242,Mission Bay,924.5691159025888,4390.0
376,2016,384242,Mission Terrace,879.0170132325142,4390.0
377,2016,384242,Nob Hill,777.0083145338547,4390.0
378,2016,384242,Noe Valley,799.4956512788842,4390.0
379,2016,384242,North Beach,407.5533215595707,4390.0
380,2016,384242,Outer Mission,40.7726253518439,4390.0
381,2016,384242,Outer Parkside,732.7206841423808,4390.0
382,2016,384242,Outer Richmond ,1196.645436923929,4390.0
383,2016,384242,Outer Sunset,510.5769072143791,4390.0
384,2016,384242,Pacific Heights,996.3893635634032,4390.0
385,2016,384242,Park North,211.3013698600657,4390.0
386,2016,384242,Parnassus/Ashbury Heights,1207.997484708169,4390.0
387,2016,384242,Potrero Hill,707.6516094320913,4390.0
388,2016,384242,Presidio Heights,1465.9685863874345,4390.0
389,2016,384242,Russian Hill,1024.3398771365155,4390.0
390,2016,384242,South of Market,531.1363737279744,4390.0
391,2016,384242,Sunnyside,751.1737089201878,4390.0
392,2016,384242,Telegraph Hill,903.0497705987848,4390.0
393,2016,384242,Twin Peaks,970.08547008547,4390.0
394,2016,384242,Van Ness/ Civic Center,552.6025671312701,4390.0
395,2016,384242,Visitacion Valley,328.31900668576884,4390.0
396,2016,384242,Westwood Park,631.1954258724091,4390.0
